mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy,ratio
cmptf5nk9000004lebz3i8yv9,블루스퀘어 미디어 광고,D,impressions=1200000;dailyFootfall=8500,impressions>dailyFootfall×50,,2026-08-19T15:01:27.150Z,,141.18
cmo5zgtqk000004l8s594fn51,신세계백화점 본점 신세계 스퀘어 전광판 광고,D,impressions=4500000;dailyFootfall=33414,impressions>dailyFootfall×50,,2026-08-20T06:19:34.534Z,,134.67
cmpc9yuwa000004l8blx83uyn,여수 메가박스 전광판 광고,D,impressions=1800000;dailyFootfall=14200,impressions>dailyFootfall×50,,2026-08-20T00:40:42.197Z,,126.76
cmpthegrq000004lb9iccjkho,샤롯데시어터 디지털사이니지 광고,D,impressions=1500000;dailyFootfall=12000,impressions>dailyFootfall×50,,2026-08-20T04:29:47.043Z,,125.00
cmptgcp8w000004lcetwqulfq,양양고속도로 가평휴게소 미디어 광고,D,impressions=2200000;dailyFootfall=18000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.156Z,,122.22
cmokcw7on000204jso0xml0r3,스타필드 고양점 미디어타워 & 파노라마 스크린 광고,D,impressions=8500000;dailyFootfall=70000,impressions>dailyFootfall×50,,2026-08-19T15:01:23.460Z,,121.43
cmo61couh000404juod5bxqah,이태원 해밀턴호텔 파노라마 전광판 광고,D,impressions=2800000;dailyFootfall=23286,impressions>dailyFootfall×50,,2026-08-20T01:47:07.025Z,,120.24
cmrx2jg0z001n04jr751ualgm,KTX 전주역 맞이방 영상광고 (4번) 광고,D,impressions=1800000;dailyFootfall=15000,impressions>dailyFootfall×50,,2026-08-19T15:01:23.313Z,,120.00
cmokchyi4000004js484675yf,스타필드 수원점 미디어타워 광고,D,impressions=8000000;dailyFootfall=70000,impressions>dailyFootfall×50,,2026-08-20T02:58:57.729Z,,114.29
cmptfu901000204leus08dpvg,신세계 여주 프리미엄 아울렛 전광판 광고,D,impressions=2800000;dailyFootfall=25000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.241Z,,112.00
cmo61eta5000604jujfng9shu,이태원 스크린LED 전광판 광고,D,impressions=2600000;dailyFootfall=23286,impressions>dailyFootfall×50,,2026-08-19T15:01:27.254Z,,111.66
cmqa7wy4o000204iegd2fmtl5,제주공항 2층 면세구간 사각기둥 LED 광고,D,impressions=4200000;dailyFootfall=38000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.393Z,,110.53
cmqnw55um000504l7mmuapmbt,메가박스 시그니처 삼성 코엑스점 전광판 광고,D,impressions=4500000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.728Z,,100.00
cmpti93x3000004iivq6hxh24,롯데월드 매직서클 & DID 패키지 광고,D,impressions=4500000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-20T06:26:09.779Z,,100.00
cmqnw98wt000n04jryvia4on2,메가박스 시그니처 구의 이스트폴점 전광판 광고,D,impressions=2800000;dailyFootfall=28000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.454Z,,100.00
cmp27id76000004l4znxniiz7,인천국제공항 제1터미널 센터브릿지 광고,D,impressions=24000000;dailyFootfall=245000,impressions>dailyFootfall×50,,2026-07-21T11:27:00.022Z,,97.96
cmo5y9uma000204k1n0ly5ndh,명동 AVENUE 42 미디어폴 광고,D,impressions=3200000;dailyFootfall=33414,impressions>dailyFootfall×50,,2026-08-20T04:43:04.800Z,,95.77
cmo5xrw45000004k1o6opfqkz,명동 K파이낸스빌딩 외벽 아트월 광고,D,impressions=3200000;dailyFootfall=33414,impressions>dailyFootfall×50,,2026-08-19T15:01:23.225Z,,95.77
cmrm3fc6d000n04kydi14rh4s,갤러리아 백화점 EAST DUAL LCD 광고,D,impressions=807500;dailyFootfall=8500,impressions>dailyFootfall×50,,2026-08-19T15:01:26.441Z,,95.00
cmrm3li4a000104iemha295of,갤러리아 백화점 WEST 출입구 DS 광고,D,impressions=807500;dailyFootfall=8500,impressions>dailyFootfall×50,,2026-08-19T15:01:28.307Z,,95.00
cmrm3e9hb000204jmhn2x9rnz,갤러리아 백화점 EAST B1 MEDIA WALL 광고,D,impressions=807500;dailyFootfall=8500,impressions>dailyFootfall×50,,2026-08-19T15:01:28.664Z,,95.00
cmokcli51000004l19rum9jwj,스타필드 하남점 LED 전광판 광고,D,impressions=6500000;dailyFootfall=70000,impressions>dailyFootfall×50,,2026-07-21T11:25:50.610Z,,92.86
cmqa8jogg000b04lapfs3omr9,제주공항 TV전시대 라이트박스 광고,D,impressions=3800000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.457Z,,84.44
cmo5yramn000504jul2h2i3y6,시청 프레지던트호텔 아트월 광고,D,impressions=2800000;dailyFootfall=33414,impressions>dailyFootfall×50,,2026-08-19T15:01:28.634Z,,83.80
cmqsv94cy00030bjcnuxvei3k,어린이대공원역 지하철 7호선 CM보드 조명 광고 (인쇄),D,impressions=2700000;dailyFootfall=33000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.254Z,,81.82
cmqsve0ds00000ajffvsoi5xm,어린이대공원역 지하철 7호선 CM보드 영상 광고 (디지털),D,impressions=2700000;dailyFootfall=33000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.497Z,,81.82
cmokcok1s000204l1rtbt1scz,스타필드 하남 주차장 파노라마 광고,D,impressions=5500000;dailyFootfall=70000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.453Z,,78.57
cmo61lsrg000204juraw6dpsw,이태원역 178 외벽 아트월 광고,D,impressions=1800000;dailyFootfall=23286,impressions>dailyFootfall×50,,2026-08-19T15:01:26.918Z,,77.30
cmqit76mb000004l4bwjq16q1,부산 스마트 쉼터형 버스쉘터 광고,D,impressions=6500000;dailyFootfall=85000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.463Z,,76.47
cmqa7egri000204jukbc91zqd,제주공항 1층 도착장 LED 광고,D,impressions=3200000;dailyFootfall=42000,impressions>dailyFootfall×50,,2026-08-20T00:45:00.398Z,,76.19
cmqa8ejxd000004lacybzvzho,"제주공항 3층 출발장 라이트박스 광고(LB-09, LB-10)",D,impressions=2400000;dailyFootfall=32000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.441Z,,75.00
cmqa89ys3000g04laexgq6r7t,제주공항 2층 면세점 라이트박스 광고,D,impressions=2600000;dailyFootfall=35000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.279Z,,74.29
cmqa7t29m000404l4hc1dw5zl,제주공항 1층 국내/국제 경계선 LED 광고,D,impressions=3500000;dailyFootfall=48000,impressions>dailyFootfall×50,,2026-08-20T05:19:01.148Z,,72.92
cmqaeqzrx000104i5124jpxif,AK플라자 수원점 LED 광고,D,impressions=5200000;dailyFootfall=72000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.212Z,,72.22
cmpwwytko000004jpqecqr1ro,서울 남부버스터미널 LED 전광판 광고,D,impressions=1800000;dailyFootfall=25000,impressions>dailyFootfall×50,,2026-08-14T18:23:11.138Z,,72.00
cmpwxsqf5000004jst7x1huq3,KTX 경주역 출입구 상단 조명 광고 (1번/2번),D,impressions=2500000;dailyFootfall=35000,impressions>dailyFootfall×50,,2026-07-31T16:47:23.309Z,,71.43
cmpwy0iwv000204jsg5oa2bu2,KTX 경주역 LED전광판 광고,D,impressions=2500000;dailyFootfall=35000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.444Z,,71.43
cmptklfa7000104jxmftxlrt7,45인승 리무진 버스 래핑 광고,D,impressions=3200000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-20T05:53:23.748Z,,71.11
cmqpabzxo000204l8xmqx12z8,구리 돌다리 사거리 전광판 광고,D,impressions=3200000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.285Z,,71.11
cmqitkt21000104l7f31igpr8,부산 BRT 버스쉘터 광고,D,impressions=8500000;dailyFootfall=120000,impressions>dailyFootfall×50,,2026-08-19T15:01:23.690Z,,70.83
cmqafbhc3000204jpkne5ybz6,AK플라자 분당점 스퀘어 LED 광고,D,impressions=5800000;dailyFootfall=85000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.216Z,,68.24
cmox0ppcz000004l4r6sp277c,KTX 서울역 파노라마 전광판 광고,D,impressions=18500000;dailyFootfall=274000,impressions>dailyFootfall×50,,2026-08-20T04:54:32.238Z,,67.52
cmocx36r4000004k1yvrv6y13,더현대서울 사운즈 포레스트 미디어월 광고,D,impressions=1850000;dailyFootfall=27643,impressions>dailyFootfall×50,,2026-08-20T01:56:45.152Z,,66.92
cmqa7mm2x000104lbnnn4rn6m,제주공항 1층 도착장 라이트박스 광고 (LB-01),D,impressions=2800000;dailyFootfall=42000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.755Z,,66.67
cmqa924nc000204ky1c141kst,제주공항 국내선 출발/도착 DS 광고 (패키지),D,impressions=3200000;dailyFootfall=48000,impressions>dailyFootfall×50,,2026-08-20T01:54:51.618Z,,66.67
cmqst9336000209kp6u0huka5,여의도역 지하철 5호선 CM보드 영상 광고 (디지털),D,impressions=3300000;dailyFootfall=50000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.465Z,,66.00
cmqstczzv00030ajnxs3isw5w,여의도역 지하철 5호선 CM보드 조명 광고 (인쇄),D,impressions=3300000;dailyFootfall=50000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.492Z,,66.00
cms4dt5b8000404l4ze7pd4em,디저트랩 이마트24 서울숲점 LED 사이니지 광고,D,impressions=2500000;dailyFootfall=38000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.932Z,,65.79
cms4vx7fe000904jo2kzchcof,김해국제공항 진입로 광고,D,impressions=6200000;dailyFootfall=95000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.923Z,,65.26
cmqaedojj000p04laqr25pbdl,AK플라자 평택점 LED 광고,D,impressions=4200000;dailyFootfall=65000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.698Z,,64.62
cmo60u0gm000204jspdl8gfc7,동대문 맥스타일 전광판 광고,D,impressions=1600000;dailyFootfall=24771,impressions>dailyFootfall×50,,2026-08-19T15:01:25.973Z,,64.59
cms4e45j8000004jo3l2o58a7,이마트24 본점 쇼윈도 LED 사이니지 광고,D,impressions=1800000;dailyFootfall=28000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.929Z,,64.29
cmp3csmb2000004l43sen816g,지하철 신분당선 메트로 라이브 광고,D,impressions=28500000;dailyFootfall=450000,impressions>dailyFootfall×50,,2026-08-20T07:00:28.049Z,,63.33
cmq3vyc6o000004jm5h9a4yki,성수동 대림창고 외벽광고,D,impressions=2800000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.468Z,,62.22
cmq3w55p4000304lg3tqbvgtw,성수동 렉트 외벽광고,D,impressions=2800000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-20T01:40:14.805Z,,62.22
cmq3wpngl000804l55es4eret,성수동 성화빌딩 외벽광고,D,impressions=2800000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.507Z,,62.22
cms4e1jrq000004kywtej4ieu,이마트24 STAY 성동성수점 쇼윈도 LED 사이니지,D,impressions=2600000;dailyFootfall=42000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.756Z,,61.90
cmoegluf8000204ldbj44j2uq,여의도 여의12 올림픽대로 디지털 광고,D,impressions=8500000;dailyFootfall=137357,impressions>dailyFootfall×50,,2026-08-20T01:19:22.076Z,,61.88
cmq3x2965000m04l5hq30xrp5,성수동 연무장 H4 외벽광고,D,impressions=2900000;dailyFootfall=48000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.399Z,,60.42
cmq3whqri000h04lgafc3x5zu,성수동 길동우동 외벽 광고,D,impressions=2900000;dailyFootfall=48000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.353Z,,60.42
cmq3wd9aw000504l5lfq1lha8,성수동 한서빌딩 외벽광고,D,impressions=2900000;dailyFootfall=48000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.600Z,,60.42
cms4dirsw000204jr67k9mlqi,트렌드랩 성수 이마트24 쇼윈도 파사드 LED 사이니지 광고,D,impressions=2700000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.544Z,,60.00
cmrn711g8000404ib3hct4qpy,성신여대입구역 강북미디어빌딩 전광판 광고,D,impressions=2400000;dailyFootfall=40000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.768Z,,60.00
cmrl2hpgw000m04jp7f010nlv,여의도 파크원 미디어월 전광판 광고,D,impressions=5100000;dailyFootfall=85000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.007Z,,60.00
cmq979xt9000304l1xdjsaylw,스타필드 하남점 LED 전광판 광고,D,impressions=4200000;dailyFootfall=70000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.339Z,,60.00
cmrn6o2ez000904l75lkwwgol,신도림역 디큐브시티 LED 영상 광고,D,impressions=1800000;dailyFootfall=30000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.005Z,,60.00
cmqnxndxp000004kzq0pe5bke,시그니처 도산 전광판 광고,D,impressions=4800000;dailyFootfall=80000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.180Z,,60.00
cmra67eet000104l76ok7mf72,양양서피비치 선셋바 포토월 광고,D,impressions=1680000;dailyFootfall=28000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.440Z,,60.00
cmpcascft000204kwtjycd0zc,목포 코아빌딩 전광판 광고,D,impressions=1900000;dailyFootfall=32000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.915Z,,59.38
cmqzz9xdu00030aho3swdnc8x,구의역 이스트폴 스퀘어 파노라마 + LED 보드 광고,D,impressions=3200000;dailyFootfall=54570,impressions>dailyFootfall×50,,2026-08-19T15:01:28.466Z,,58.64
cmq97fjbd000704l10023hg6a,더현대 서울 디지털갤러리 광고,D,impressions=3200000;dailyFootfall=54857,impressions>dailyFootfall×50,,2026-08-20T01:55:21.643Z,,58.33
cmqqu75fp000704js9nhywx9p,공항철도 홍대입구역 중앙통로 벽면 패키지 광고,D,impressions=3200000;dailyFootfall=55000,impressions>dailyFootfall×50,,2026-08-20T03:30:21.163Z,,58.18
cmp0gg9e3000e04jicm5nl221,인천지하철 1호선 작전역 디지털사이니지 (디지털포스터) 광고,D,impressions=1600000;dailyFootfall=28000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.307Z,,57.14
cmpca463d000404l8on57twws,순천 조례삼거리 서울우리병원 전광판 광고,D,impressions=1600000;dailyFootfall=28000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.666Z,,57.14
cmp0gjlox000m04ib37h33kgd,인천지하철 1호선 원인재역 디지털사이니지 (디지털포스터) 광고,D,impressions=1200000;dailyFootfall=21000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.672Z,,57.14
cmp0gi5je000g04jile8iqnr5,인천지하철 1호선 부평역 디지털사이니지 (디지털포스터) 광고,D,impressions=3700000;dailyFootfall=65000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.360Z,,56.92
cmrwgei4j000b04lat8caj53b,인천지하철 1호선 인천시청역 I-SCREEN 영상광고,D,impressions=1000000;dailyFootfall=17569,impressions>dailyFootfall×50,,2026-08-19T15:01:26.526Z,,56.92
cmp0gd45o000c04ji4usu8p0e,인천지하철 1호선 예술회관역 디지털사이니지 (디지털포스터) 광고,D,impressions=1250000;dailyFootfall=22000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.705Z,,56.82
cmrwfuh1b000g04lghb3kaxkg,인천지하철 2호선 검암역 I-SCREEN 영상광고,D,impressions=1270000;dailyFootfall=22353,impressions>dailyFootfall×50,,2026-08-19T15:01:26.218Z,,56.82
cmrwfnosu000m04laknk1lk46,인천지하철 1호선 테크노파크역 I-SCREEN 영상광고,D,impressions=1470000;dailyFootfall=25879,impressions>dailyFootfall×50,,2026-08-19T15:01:27.983Z,,56.80
cmrwg26u0000104l20ofjcxkk,인천지하철 2호선 주안역 I-SCREEN 영상광고,D,impressions=3150000;dailyFootfall=55513,impressions>dailyFootfall×50,,2026-08-19T15:01:24.956Z,,56.74
cmrwirjcs000504jlnlr684lo,인천지하철 1호선 디지털사이니지 전체 턴키 (7개 역사) 광고,D,impressions=13500000;dailyFootfall=238000,impressions>dailyFootfall×50,,2026-08-20T06:12:06.538Z,,56.72
cmrwib77h000m04l28pi9b6ro,인천지하철 1호선 인천터미널역 디지털사이니지 (디지털포스터) 광고,D,impressions=2550000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.226Z,,56.67
cmo60o014000004l572ktu83w,동대문 헬로APM빌딩 전광판 광고,D,impressions=1400000;dailyFootfall=24771,impressions>dailyFootfall×50,,2026-08-19T15:01:24.406Z,,56.52
cmp0geb4p000i04ibjncqsfya,인천지하철 1호선 부평구청역 디지털사이니지 (디지털포스터) 광고,D,impressions=1800000;dailyFootfall=32000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.726Z,,56.25
cmqqu3jmw000404jslayiqp5s,공항철도 홍대입구역 4번 출구 패키지 광고,D,impressions=2800000;dailyFootfall=50000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.091Z,,56.00
cmqqtj8lq000104l4xr4ajz0v,공항철도 홍대입구역 환승통로 무인워크 패키지 광고,D,impressions=2500000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-20T02:59:05.202Z,,55.56
cmq3x5pvz000504jpapuvuztt,성수동 KDB 산업은행 외벽 광고,D,impressions=2500000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.235Z,,55.56
cmqagank3000004l8e6y4bf8d,롯데백화점 부산본점 DS 패키지 광고,D,impressions=5200000;dailyFootfall=95000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.816Z,,54.74
cmoyjyni0000204jujc85dhca,대구 신세계백화점 전광판 광고,D,impressions=6500000;dailyFootfall=120000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.773Z,,54.17
cmquwmka0000604l2qyl38ys7,명동 미디어폴 디지털 광고,D,impressions=6500000;dailyFootfall=120000,impressions>dailyFootfall×50,,2026-08-20T05:37:59.730Z,,54.17
cmpcawpfp000204i385nxaflt,목포 MBC스테이션월 전광판 광고,D,impressions=2800000;dailyFootfall=52000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.901Z,,53.85
cmqi7afly000804jjt8wtzifh,광주 지하철 디지털포스터 광고,D,impressions=4500000;dailyFootfall=85000,impressions>dailyFootfall×50,,2026-08-19T17:56:53.042Z,,52.94
cmretdztq000d04jzfoizdihm,서면 롯데백화점 중앙몰 디지털포스터 광고,D,impressions=4500000;dailyFootfall=85000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.248Z,,52.94
cmqstjkkk00060aku4v2cv9am,광화문역 지하철 5호선 CM보드 영상 광고 (디지털),D,impressions=3300000;dailyFootfall=63000,impressions>dailyFootfall×50,,2026-08-19T15:01:26.499Z,,52.38
cmqstx2v500000bkkde7vct8z,광화문역 지하철 5호선 CM보드 조명 광고 (인쇄),D,impressions=3300000;dailyFootfall=63000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.410Z,,52.38
cmod63z8h000004lar8lfzc4l,광화문 루미 미디어 전광판 광고,D,impressions=1850000;dailyFootfall=35529,impressions>dailyFootfall×50,,2026-08-19T15:01:23.156Z,,52.07
cmo60b9fh000204juy36d7dop,삼각지 용산 해태제과빌딩 전광판 광고,D,impressions=950000;dailyFootfall=18357,impressions>dailyFootfall×50,,2026-08-19T15:01:24.496Z,,51.75
cmo61hvk4000004juhpy0zn8i,이태원 무신사 에비뉴빌딩 전광판 광고,D,impressions=1200000;dailyFootfall=23286,impressions>dailyFootfall×50,,2026-08-19T15:01:26.747Z,,51.53
cmpdbwneg000004ju3yqfxpqc,원주 남부시장사거리 전광판 광고,D,impressions=1800000;dailyFootfall=35000,impressions>dailyFootfall×50,,2026-08-19T15:01:27.607Z,,51.43
cmq3wwc63000j04lgcmp77yeg,성수동 자연도소금빵 외벽 광고,D,impressions=1800000;dailyFootfall=35000,impressions>dailyFootfall×50,,2026-08-19T15:01:28.543Z,,51.43
cmp0f3wki000604ibq97ht1kj,원주 고속버스터미널 옆 대호빌딩 전광판 광고,D,impressions=2300000;dailyFootfall=45000,impressions>dailyFootfall×50,,2026-08-20T01:25:35.681Z,,51.11

# 분류 오류 의심 — D 판정과 무관
# cmp3v92yy000004jr7i6ykgy1 | 골프장 미디어바 광고 | type=mobile | mediaMainCategory=transit | mediaSubCategory=subway_station | classifyForMetricsWrite=subway_psd | ratio=335.29 | in_D50=true
# 이동형(type=mobile) 골프장 미디어바인데 subway_psd 로 분류됨. D ×50 포함 여부와 별개로 분류 로직 버그.
