mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy
cmqhzzg6c000704l2809gq0xe,대전 으능정이 스카이로드,D,impressions=3200000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.123Z,
cmpthegrq000004lb9iccjkho,샤롯데시어터 디지털사이니지 광고,D,impressions=1500000;dailyFootfall=12000,impressions>dailyFootfall×31,,2026-08-20T04:29:47.043Z,
cmqa7egri000204jukbc91zqd,제주공항 1층 도착장 LED 광고,D,impressions=3200000;dailyFootfall=42000,impressions>dailyFootfall×31,,2026-08-20T00:45:00.398Z,
cmq3x2965000m04l5hq30xrp5,성수동 연무장 H4 외벽광고,D,impressions=2900000;dailyFootfall=48000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.399Z,
cmqa6k2lz000304jvk9ikbnl3,인천 구월로데오광장 전광판 광고,D,impressions=2800000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.403Z,
cmpcawpfp000204i385nxaflt,목포 MBC스테이션월 전광판 광고,D,impressions=2800000;dailyFootfall=52000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.901Z,
cmo60o014000004l572ktu83w,동대문 헬로APM빌딩 전광판 광고,D,impressions=1400000;dailyFootfall=24771,impressions>dailyFootfall×31,,2026-08-19T15:01:24.406Z,
cmod6a2i6000004jutaz5kkit,시청 디조빌딩 전광판 광고,D,impressions=1650000;dailyFootfall=33414,impressions>dailyFootfall×31,,2026-08-19T15:01:24.415Z,
cmqg7nhl2000004i8derlksof,부천 서광빌딩 전광판 광고,D,impressions=2550000;dailyFootfall=75000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.904Z,
cmpcascft000204kwtjycd0zc,목포 코아빌딩 전광판 광고,D,impressions=1900000;dailyFootfall=32000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.915Z,
cmoegluf8000204ldbj44j2uq,여의도 여의12 올림픽대로 디지털 광고,D,impressions=8500000;dailyFootfall=137357,impressions>dailyFootfall×31,,2026-08-20T01:19:22.076Z,
cmokduapm000004jreheydvdj,인천공항 T2 프리미엄스퀘어 광고,D,impressions=4200000;dailyFootfall=130000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.447Z,
cms4dt5b8000404l4ze7pd4em,디저트랩 이마트24 서울숲점 LED 사이니지 광고,D,impressions=2500000;dailyFootfall=38000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.932Z,
cmp0s5qz9000404jxxq1ve1su,대구 국제공항 도착장 멀티비전 광고,D,impressions=2200000;dailyFootfall=12500,impressions>dailyFootfall×31,,2026-08-19T15:01:24.477Z,
cmofprkck000204jr5ij37udz,공항철도 서울역 랩핑 무빙워크 핸드레일 광고,D,impressions=2100000;dailyFootfall=58761,impressions>dailyFootfall×31,,2026-08-19T15:01:24.489Z,
cmptf5nk9000004lebz3i8yv9,블루스퀘어 미디어 광고,D,impressions=1200000;dailyFootfall=8500,impressions>dailyFootfall×31,,2026-08-19T15:01:27.150Z,
cmp0f3wki000604ibq97ht1kj,원주 고속버스터미널 옆 대호빌딩 전광판 광고,D,impressions=2300000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-20T01:25:35.681Z,
cmo61couh000404juod5bxqah,이태원 해밀턴호텔 파노라마 전광판 광고,D,impressions=2800000;dailyFootfall=23286,impressions>dailyFootfall×31,,2026-08-20T01:47:07.025Z,
cmqp7sr5k000004jpyzaczfao,분당선 압구정로데오역 헬로 로데오 DS 광고,D,impressions=6500000;dailyFootfall=38000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.638Z,
cmpca463d000404l8on57twws,순천 조례삼거리 서울우리병원 전광판 광고,D,impressions=1600000;dailyFootfall=28000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.666Z,
cmp0h0vim000004l756rxncaq,강원 웰리힐리 파크 스키장 전광판 광고,D,impressions=320000;dailyFootfall=8500,impressions>dailyFootfall×31,,2026-08-19T15:01:24.670Z,
cmptfu901000204leus08dpvg,신세계 여주 프리미엄 아울렛 전광판 광고,D,impressions=2800000;dailyFootfall=25000,impressions>dailyFootfall×31,,2026-08-19T15:01:27.241Z,
cmo61eta5000604jujfng9shu,이태원 스크린LED 전광판 광고,D,impressions=2600000;dailyFootfall=23286,impressions>dailyFootfall×31,,2026-08-19T15:01:27.254Z,
cmqaedojj000p04laqr25pbdl,AK플라자 평택점 LED 광고,D,impressions=4200000;dailyFootfall=65000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.698Z,
cmqnw55um000504l7mmuapmbt,메가박스 시그니처 삼성 코엑스점 전광판 광고,D,impressions=4500000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.728Z,
cmqsvljxg00020ajbbzl4u9p2,을지로4가역 지하철 5호선 CM보드 조명 광고 (인쇄),D,impressions=1350000;dailyFootfall=39000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.763Z,
cmo60rxbv000404jus61guhsy,동대문 밀리오레빌딩 전광판 광고,D,impressions=1100000;dailyFootfall=24771,impressions>dailyFootfall×31,,2026-08-19T15:01:27.346Z,
cmp3v7v99000204l1gdoodg2q,택시 미디어바 광고,D,impressions=14500000;dailyFootfall=450000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.871Z,
cmp0gi5je000g04jile8iqnr5,인천지하철 1호선 부평역 디지털사이니지 (디지털포스터) 광고,D,impressions=3700000;dailyFootfall=65000,impressions>dailyFootfall×31,,2026-08-19T15:01:27.360Z,
cmo5y12ki000004jvzvukboze,명동 고려빌딩 전광판 광고,D,impressions=1100000;dailyFootfall=33414,impressions>dailyFootfall×31,,2026-08-20T01:18:58.582Z,
cmqsuzrfj000109jfjhjkjgaf,논현역 지하철 7호선 CM보드 영상 광고 (디지털),D,impressions=1650000;dailyFootfall=34000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.916Z,
cmqi7afly000804jjt8wtzifh,광주 지하철 디지털포스터 광고,D,impressions=4500000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T17:56:53.042Z,
cmrep774v000304jrv9zmylys,부산 해운대 엘리시아 호텔 외벽 광고,D,impressions=6500000;dailyFootfall=180000,impressions>dailyFootfall×31,,2026-08-19T15:01:24.952Z,
cmrwg26u0000104l20ofjcxkk,인천지하철 2호선 주안역 I-SCREEN 영상광고,D,impressions=3150000;dailyFootfall=55513,impressions>dailyFootfall×31,,2026-08-19T15:01:24.956Z,
cmo61gmgi000004l8w1yyvtdo,이태원 KB국민은행 전광판 광고,D,impressions=950000;dailyFootfall=23286,impressions>dailyFootfall×31,,2026-08-19T15:01:24.977Z,
cmp0s58ou000404kty3ncswwp,대구 국제공항 국내선 2층 격리대합실 사각기둥 광고,D,impressions=1600000;dailyFootfall=7200,impressions>dailyFootfall×31,,2026-08-19T15:01:25.031Z,
cmpxgdyzc000004jsicuh4bvb,지하철 신분당선 판교역 미디어가든 광고,D,impressions=4200000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.142Z,
cmpdb1yeb000004jxohnd90wm,춘천 중앙로터리 SC제일은행 전광판 광고,D,impressions=2100000;dailyFootfall=42000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.209Z,
cmo602kh0000004jujhbem3zx,영동대교 블루펄 전광판 광고,D,impressions=1800000;dailyFootfall=43429,impressions>dailyFootfall×31,,2026-08-20T02:23:41.613Z,
cmqqu75fp000704js9nhywx9p,공항철도 홍대입구역 중앙통로 벽면 패키지 광고,D,impressions=3200000;dailyFootfall=55000,impressions>dailyFootfall×31,,2026-08-20T03:30:21.163Z,
cmp0t5i19000204l8mvpk474w,대전 동부네거리 LED 전광판 광고,D,impressions=3800000;dailyFootfall=105000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.237Z,
cmox0ppcz000004l4r6sp277c,KTX 서울역 파노라마 전광판 광고,D,impressions=18500000;dailyFootfall=274000,impressions>dailyFootfall×31,,2026-08-20T04:54:32.238Z,
cmqa7wy4o000204iegd2fmtl5,제주공항 2층 면세구간 사각기둥 LED 광고,D,impressions=4200000;dailyFootfall=38000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.393Z,
cmqa8ejxd000004lacybzvzho,"제주공항 3층 출발장 라이트박스 광고(LB-09, LB-10)",D,impressions=2400000;dailyFootfall=32000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.441Z,
cmp0rlo9x000004ktbg9ix4ad,강원 휘닉스파크 스키장 전광판 광고,D,impressions=420000;dailyFootfall=12000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.449Z,
cmokcok1s000204l1rtbt1scz,스타필드 하남 주차장 파노라마 광고,D,impressions=5500000;dailyFootfall=70000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.453Z,
cmp0s2i8b000004jxap4ok8ci,대구 국제공항 카트 광고,D,impressions=1800000;dailyFootfall=8500,impressions>dailyFootfall×31,,2026-08-19T15:01:25.467Z,
cmoyk2ahd000204leto9vdkw3,대구 죽전사거리 윤암빌딩 전광판 광고,D,impressions=4200000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.482Z,
