priority,name,id,cheapestPeriod,cheapestPrice,cheapestLabel,priceNote,displayPeriod,displayPriceWon,monthlyShown,labelInfer,guess,confidence,hints
1,시청 광학빌딩 외벽 아트월 광고,cmoigbimb000004ibtxtg5y5e,2주,96000000,2주 아트월,,month,96000000,96000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,신사 성현빌딩 전광판 광고,cmo6f7wqq000004ld244yostf,2주,4500000,20초 100회 (2주),,month,4500000,4500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,신사 송천빌딩 전광판 광고,cmpdtixqw000504l1o2d5iakf,2주,4000000,20초 2주,,month,4000000,4000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,신촌 스타빌딩 외벽 아트월 광고,cmoe2sdbn000004lb3yqhzoos,2주,48000000,2주,,month,48000000,48000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,압구정 제원빌딩 외벽 아트월 광고,cmoigmub4000204ldy691acwo,2주,65000000,2주 아트월,,month,65000000,65000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,압구정로데오 H2 광고,cmoftn5sa000004i2czjp6nxx,2주,72000000,2주 (개별),,month,72000000,72000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,에어부산 기내 샘플 증정,cmrlzvqhh000a04kwnaxrsv22,1회,1200000,1편 (1회),,month,1200000,1200000,month,확인 필요,none,
1,여수 메가박스 전광판 광고,cmpc9yuwa000004l8blx83uyn,2주,2200000,2주,,month,2200000,2200000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,영등포 타임스퀘어 자이언트 아트캔버스 광고,cmoiftohh000404jx0bxv87ll,2주,4500000,"2주 (20초, 102회+/일, 23구좌)",,month,4500000,4500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,용산 라부티크 블루 외벽 아트월 광고,cmod0qyqw000004jsjszwr5ga,2주,84000000,2주,,month,84000000,84000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,용산 무경빌딩 외벽 아트월 광고,cmof4rf1t000004la8mqc92io,2주,24000000,빌보드 광고,,month,24000000,24000000,month,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,원주 고속버스터미널 옆 대호빌딩 전광판 광고,cmp0f3wki000604ibq97ht1kj,2주,2200000,2주,,month,2200000,2200000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,원주 남부시장사거리 전광판 광고,cmpdbwneg000004ju3yqfxpqc,2주,1100000,2주,,month,1100000,1100000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,을지로입구 교원빌딩 엠시티(M-CITY) 전광판 광고,cmo5ye7b2000404jviyc4t8u1,7일,25000000,7일,,month,25000000,25000000,day,확인 필요 (N일 패키지 총액 vs 일당),low,
